id,instnm,st_fips,region,ccbasic,ccsizset,adm_rate,pplus_pct_low,pplus_pct_high,plus_debt_all_md,c150_4,c100_4,trans_4,c150_4_black,c150_4_hisp,c150_4_nhpi,c150_4_aian,c150_4_pell,ugds_black,ugds_hisp,ugds_aian,ugds_nhpi,ugds,ind_comp_orig_yr4_rt,lo_inc_comp_orig_yr4_rt,firstgen_comp_orig_yr4_rt,comp_orig_yr4_rt,wdraw_orig_yr3_rt,ind_wdraw_orig_yr3_rt,lo_inc_wdraw_orig_yr3_rt,firstgen_wdraw_orig_yr3_rt,cuml_debt_p10,cuml_debt_p25,cuml_debt_p75,cuml_debt_p90,npt41_pub,npt42_pub,npt43_pub,npt44_pub,npt45_pub,npt41_priv,npt42_priv,npt43_priv,npt44_priv,npt45_priv,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
315,University of South Florida,12,5,15,15,0.4938,0,5,15000,0.7463,0.5949,0.1024,0.7325,0.7275,0.7,0.6667,0.7205,0.0866,0.2222,0.0013,0.0012,36681,0.596514745308,0.581055983019,0.589239524056,0.591702257474,0.112239902081,0.137254901961,0.11528291909,0.113811398254,3000,7250,26395,34500,4454,6209,9050,13978,15614,,,,,,12200,36021,78949,81300
316,St. Thomas University,12,5,17,13,0.7086,5,15,11499,0.4124,0.3351,0.4227,0.383,0.3978,,,0.3619,0.3589,0.3417,0.0011,0.0017,1797,0.444444444444,0.364406779661,0.39880952381,0.410714285714,0.174216027875,0.186813186813,0.2,0.178571428571,3500,6726,27500,40486,,,,,,26243,26319,27187,30571,30184,9200,32773,80206,90000
317,Stetson University,12,5,18,14,0.9164,10,15,33645,0.6327,0.5776,0,0.5529,0.6154,0.3333,0,0.5698,0.1125,0.1911,0.0018,0.0018,2826,0.590909090909,0.575630252101,0.550106609808,0.583006535948,0.081240768095,,0.108108108108,0.086330935252,4750,6500,27250,36500,,,,,,16630,18433,20167,21906,23773,12300,31518,78136,88300
318,Southeastern University,12,5,17,13,0.4492,10,15,19000,0.5143,0.3402,0.1134,0.4429,0.5429,0.5714,0,0.4376,0.1137,0.2326,0.0064,0.0047,5296,0.342857142857,0.370044052863,0.397727272727,0.430031446541,0.293925538863,0.317829457364,0.336,0.316216216216,3250,5500,22905,32966,,,,,,26277,25292,27803,30299,29580,6000,23044,60007,62600
319,Talmudic College of Florida,12,5,24,8,,,,,0.6316,0.1053,0.3684,,,,,0.6667,0,0,0,0,30,,,,,,,,,,,,,,,,,,14420,14428,,,,,,,
320,The University of Tampa,12,5,18,13,0.5355,10,20,38807,0.6212,0.5172,0,0.5802,0.5112,1,0.3333,0.5476,0.0306,0.1169,0.0005,0.0002,9838,0.63829787234,0.541766109785,0.542829643888,0.568521843208,0.077746478873,0.09219858156,0.116173120729,0.093720712277,3500,6250,27000,31000,,,,,,29665,31209,33041,33021,36583,11900,37399,84640,88400
321,Trinity Baptist College,12,5,22,8,0.4301,10,15,12513,0.1786,0.0909,0.1429,0.2353,0.1818,,,0.2642,0.2229,0.132,0.0029,0,341,,,,0.223021582734,0.296875,,0.293103448276,0.263157894737,2750,4750,18250,28330.5,,,,,,15439,15871,15219,20349,21545,5500,13991,54013,56000
322,Trinity College of Florida,12,5,22,8,0.4672,5,10,14307,0.3636,0.3125,0.3333,0.3636,0.2857,,,0.4118,0.2211,0.206,0.0101,0.005,199,0.387096774194,0.35,,0.380281690141,0.381818181818,0.454545454545,,,4680,5500,25000,35200,,,,,,15597,16776,16504,23630,24338,,16925,58108,
323,Warner University,12,5,20,8,0.5313,10,20,13397,0.402,0.2487,0,0.3214,0.4516,0,,0.3438,0.3123,0.1745,0.0052,0.0026,762,0.483870967742,0.347368421053,0.41610738255,0.434895833333,0.260115606936,0.338842975207,0.303370786517,,3500,6250,29687,45001,,,,,,20115,29493,,,,15100,28585,60642,83600
324,Webber International University,12,5,22,8,0.4574,15,25,17094,0.2431,0.1989,0.2431,0.1356,0.1111,0,0,0.2137,0.3226,0.0555,0.0026,0.0065,775,0.333333333333,0.245614035088,0.277777777778,0.294117647059,0.246913580247,0.383333333333,0.262032085561,0.26329787234,2750,5500,22500,31000,,,,,,23569,25330,26359,27615,30881,10600,27534,67639,69700
