id,instnm,st_fips,region,ccbasic,ccsizset,adm_rate,pplus_pct_low,pplus_pct_high,plus_debt_all_md,c150_4,c100_4,trans_4,c150_4_black,c150_4_hisp,c150_4_nhpi,c150_4_aian,c150_4_pell,ugds_black,ugds_hisp,ugds_aian,ugds_nhpi,ugds,ind_comp_orig_yr4_rt,lo_inc_comp_orig_yr4_rt,firstgen_comp_orig_yr4_rt,comp_orig_yr4_rt,wdraw_orig_yr3_rt,ind_wdraw_orig_yr3_rt,lo_inc_wdraw_orig_yr3_rt,firstgen_wdraw_orig_yr3_rt,cuml_debt_p10,cuml_debt_p25,cuml_debt_p75,cuml_debt_p90,npt41_pub,npt42_pub,npt43_pub,npt44_pub,npt45_pub,npt41_priv,npt42_priv,npt43_priv,npt44_priv,npt45_priv,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
1,Alabama A & M University,1,5,18,14,0.716,25,30,17101,0.2807,0.1121,0.3412,0.2805,0.2222,0,0,0.2797,0.8978,0.0114,0.0027,0.001,5098,0.223684210526,0.197745901639,0.20873015873,0.222366710013,0.295683027794,0.270588235294,0.319361277445,0.313927781872,3381,5500,32208,47750,12177,12300,15508,16707,18857,,,,,,6700,24069,56598,70000
2,University of Alabama at Birmingham,1,5,15,15,0.8854,5,10,18372,0.6245,0.4209,0.1786,0.5565,0.5769,,0.6,0.5074,0.2458,0.0669,0.0021,0.0004,13284,0.39527027027,0.440978077572,0.427501337614,0.454072145779,0.218779639583,0.253227408143,0.247376311844,0.239802779023,3500,6250,26082,37540,13862,15370,16847,18230,20054,,,,,,10900,32627,75896,84000
3,Amridge University,1,5,20,6,,0,5,7772,0.4444,0.6667,0.5556,0.2857,,,,0.375,0.6932,0.0438,0,0.004,251,,,,0.1328125,0.516556291391,,0.532786885246,,3166,4750,24250,38455,,,,,,,,,,,6800,19849,59803,79500
4,University of Alabama in Huntsville,1,5,15,13,0.7367,0,10,17010,0.6072,0.3528,0.2407,0.4845,0.6444,,0.6667,0.4769,0.0871,0.061,0.008,0.0012,7358,0.396551724138,0.332075471698,0.349642004773,0.369397217929,0.225510923185,0.19943019943,0.230607966457,0.237214363439,3472,5500,26750,36250,14654,14646,18572,19206,19423,,,,,,12900,34919,87130,93300
5,Alabama State University,1,5,17,14,0.9799,15,25,18827,0.2843,0.1014,0.3638,0.2844,0.4286,,0,0.2644,0.9259,0.0129,0.0017,0.0014,3495,0.21768707483,0.210592686003,0.236633663366,0.24620303757,0.371784879189,0.4375,0.409937888199,0.388189738625,3500,5784,32263,45000,12877,14170,13992,20568,21938,,,,,,7100,19393,49594,55400
6,The University of Alabama,1,5,15,16,0.789,5,15,41221,0.7223,0.5264,0.1882,0.5663,0.661,0.625,0.6207,0.5455,0.105,0.0549,0.0037,0.0008,30725,0.525447042641,0.480234260615,0.523562023562,0.576646590247,0.123743842365,0.204137931034,0.178358208955,0.143507175359,4500,7439,27000,34000,18338,20121,21957,23830,24948,,,,,,13100,36676,83834,85000
7,Athens State University,1,5,22,9,,0,5,12898,,,,,,,,,0.1243,0.0426,0.0131,0.0004,2511,0.468421052632,0.483870967742,0.51598173516,0.534482758621,0.220140515222,0.246231155779,0.27033492823,0.221418234443,3500,6341,25000,34231,,,,,,,,,,,12600,30839,65282,74000
8,Auburn University at Montgomery,1,5,18,13,0.968,5,10,10022,0.3569,0.1272,0.341,0.3287,0.25,0,0.4,0.3077,0.4487,0.0131,0.004,0.0011,3742,0.362962962963,0.239208633094,0.276018099548,0.279424977538,0.234899328859,0.226086956522,0.243664717349,0.245569620253,2750,5500,23500,37250,12565,13773,15661,17249,15387,,,,,,9500,25792,62647,66300
9,Auburn University,1,5,15,15,0.7118,5,10,38339,0.8088,0.552,0.1297,0.6898,0.7647,1,0.7917,0.6624,0.0461,0.0382,0.0027,0.0005,24782,0.617328519856,0.601876675603,0.613405551794,0.664,0.110926602458,0.178343949045,0.161162483487,0.131284916201,4500,7500,26000,33474,16701,19313,22379,24989,26836,,,,,,13800,40194,89774,91400
10,Birmingham-Southern College,1,5,21,11,0.6591,10,20,33417,0.6984,0.6485,0.2472,0.5818,0.6,,0.5,0.5652,0.1603,0.0573,0.0038,0,1048,,0.574074074074,0.609375,0.662962962963,0.150485436893,,0.245614035088,0.1875,4750,7500,27000,32524,,,,,,17500,17302,17602,21925,23073,9800,34356,87971,77600
11,Faulkner University,1,5,18,10,0.646,5,10,11187,0.1851,0.1191,0.121,0.1293,0,0.3333,,0.1243,0.4133,0.0318,0.0018,0.0029,1696,0.423228346457,0.297830374753,0.345991561181,0.354166666667,0.304740406321,0.309297912713,0.365306122449,0.324965132497,3000,5500,25730,37028,,,,,,19051,19477,19901,22116,22580,9800,23444,60221,80700
12,Herzing University-Birmingham,1,5,26,6,0.9385,0,5,9358,0.3913,,0,0.4,0,,,0.2143,0.6151,0.0263,0.0016,0.0016,608,0.332840673958,0.287412587413,0.32759609868,0.338302172815,0.311437626044,0.322291235335,0.338543809132,0.318826244642,2466,4750,23024,34866,,,,,,27308,25625,,,,12300,18302,51486,77200
13,Huntingdon College,1,5,22,8,0.693,20,25,23360,0.4422,0.3347,0,0.4545,0.3125,,1,0.4417,0.2017,0.0632,0.0048,0,838,0.691176470588,0.5,0.45643153527,0.515060240964,0.173184357542,0.154929577465,0.231884057971,0.182481751825,3500,6500,27168,35500,,,,,,19670,20339,24665,26257,24617,9100,33600,69840,73200
14,Heritage Christian University,1,5,24,6,,0,5,,0,0,0,,,,,,0.0563,0.0423,0,0,71,,,,,,,,,,,,,,,,,,,4856,,,,,,53055,
15,Jacksonville State University,1,5,18,13,0.7634,5,10,11408,0.4966,0.2576,0.2703,0.3765,0.5625,0,0.6,0.412,0.2541,0.0037,0.0054,0.0014,6992,0.534946236559,0.389671361502,0.446678321678,0.455089820359,0.21046373365,0.206266318538,0.240928882438,0.223172628305,3522,6750,28666,41750,16017,17293,20335,21862,22023,,,,,,9000,24919,57907,64200
16,University of West Alabama,1,5,18,13,0.7433,10,15,14523,0.3914,0.2602,0.3604,0.3438,0.25,0,0,0.3532,0.3866,0.0225,0.0117,0.0004,2310,0.160714285714,0.109034267913,0.122317596567,0.14502529511,0.360258481422,0.390728476821,0.4,0.382413087935,2750,5500,27000,39500,14938,16479,17186,18235,17032,,,,,,8500,22360,55747,63700
17,Miles College,1,5,22,11,,20,25,10283,0.2388,0.1442,0,0.2407,0.1429,,,0.2314,0.9426,0.0092,0.0007,0,1517,,0.042592592593,,0.059945504087,0.428360413589,0.438016528926,0.437125748503,0.423728813559,2783,5500,28271,40998,,,,,,14181,15434,17921,16509,19145,6400,16806,46335,51200
18,University of Mobile,1,5,20,11,0.6409,10,15,20860,0.5141,0.3582,0,0.2414,1,,0.8,0.4298,0.1592,0.0036,0.0225,0.0171,1112,0.331034482759,0.338709677419,0.368932038835,0.418552036199,0.222222222222,0.294117647059,0.210526315789,0.228813559322,3750,6500,28092,41352,,,,,,14325,15600,22093,21348,22464,9600,25516,62556,73400
19,University of Montevallo,1,5,19,11,0.9009,10,15,18768,0.517,0.3393,0.2794,0.589,0.5652,,0.5,0.5118,0.1694,0.06,0.0032,0.0014,2184,0.395348837209,0.366379310345,0.38038277512,0.391228070175,0.418518518519,0.375,0.415300546448,0.387596899225,3750,6500,27000,36000,13937,16120,19582,21091,21633,,,,,,9900,25456,54921,62300
20,University of North Alabama,1,5,18,13,0.8997,5,10,16168,0.5121,0.2829,0.2881,0.3622,0.4118,0,0.5556,0.4148,0.121,0.0426,0.0052,0.0006,5165,0.369294605809,0.353333333333,0.38779342723,0.418245614035,0.216788321168,0.272340425532,0.285444234405,0.231462925852,3018,5500,25000,33944,10228,10828,12956,15356,15388,,,,,,9800,25014,59954,68400
21,Oakwood University,1,5,21,11,0.7185,15,20,20583,0.4911,0.2657,0,0.5129,0.5185,,0,0.4,0.8004,0.0828,0.0015,0.0007,1353,0.342465753425,0.220238095238,0.217592592593,0.232911392405,0.447191011236,0.411764705882,0.432432432432,0.4440433213,5500,12500,37250,46500,,,,,,20804,20643,22871,24659,26791,7900,22135,61552,75600
22,Samford University,1,5,17,14,0.8387,5,15,31667,0.7891,0.6812,0,0.6667,0.4545,,1,0.7011,0.0602,0.0402,0.0011,0.0006,3604,0.696428571429,0.60824742268,0.65,0.711409395973,0.053388090349,,,0.06862745098,4096,7545,26040,34000,,,,,,22382,24416,28936,30577,34207,12600,34842,82103,124000
23,University of South Alabama,1,5,16,16,0.7078,15,20,21172,0.4741,0.2791,0.2951,0.4194,0.4464,0.5,0.4,0.4231,0.2233,0.0467,0.0066,0.0013,8631,0.463178294574,0.365619546248,0.400104329682,0.422551252847,0.213813068652,0.226452905812,0.223790322581,0.233606557377,3500,6125,27250,40000,11305,12976,17403,21560,22139,,,,,,10500,27990,68206,78800
24,Spring Hill College,1,5,22,11,0.7152,15,20,21079,0.5639,0.4819,0.3639,0.5306,0.4444,0,0.6667,0.4485,0.1405,0.0849,0.0061,0.001,989,,,,,0.49552238806,,0.40243902439,0.475113122172,4750,7500,29000,40500,,,,,,14620,13532,20078,24328,26939,15500,32229,76084,84300
25,Stillman College,1,5,22,8,0.758,15,25,13513,0.1466,0.0647,0.0948,0.1532,0,,,0.0821,0.9279,0.0055,0.0055,0,721,,0.146118721461,,0.146496815287,0.386617100372,0.421052631579,0.44623655914,0.407239819005,3500,5500,27011,41000,,,,,,15225,17677,20666,22773,23340,5100,20406,49822,51500
26,Talladega College,1,5,22,11,,20,25,11801,0.2458,0.1992,0,0.2898,0.2,0,0,0.2738,0.8444,0.0463,0.0026,0.0009,1144,,0.127358490566,,0.16339869281,0.182692307692,0.302325581395,0.197183098592,,6312.5,12750,32500,41997,,,,,,13099,13035,15556,16198,17433,4300,15007,43296,53300
27,Troy University,1,5,18,15,0.9527,0,10,13000,0.5183,0.295,0.2574,0.374,0.3333,0.6667,0.6,0.4264,0.3269,0.0453,0.0029,0.0012,10916,0.211440984794,0.218610579987,0.259349593496,0.2837922403,0.301769636759,0.347826086957,0.347771500314,0.313099041534,3130,5500,29512,44875,12287,12921,14999,16223,14597,,,,,,9700,26146,61567,70800
28,Tuskegee University,1,5,19,11,0.342,30,35,42160,0.5697,0.2686,0,0.5404,0.5,,,0.6351,0.9093,0.0041,0.0041,0.0009,2184,0.355555555556,0.432624113475,0.43488372093,0.454833597464,0.155027932961,,0.171821305842,0.165618448637,5500,11000,39486,52700,,,,,,35020,30638,36852,38229,38809,9200,27685,69383,81200
29,United States Sports Academy,1,5,32,6,1,0,5,16893,,,,,,,,,0.2206,0.1324,0.0147,0,68,,,,,,,,,2436,5250,30250,41015,,,,,,,,,,,,32289,60799,
30,University of Alaska Anchorage,2,8,18,12,0.6905,0,5,14196,0.3047,0.1516,0.1621,0.1176,0.2921,0.1176,0.0496,0.2317,0.0339,0.1001,0.0563,0.0347,7284,0.188695652174,0.138969873664,0.161872532431,0.174219093709,0.487460100319,0.483349191246,0.539915966387,0.512309495897,2556,4750,22322,37491,9450,10832,13311,15855,16132,,,,,,7600,27011,75552,84200
31,Alaska Bible College,2,8,24,7,,0,5,,0.5,0,0,,,,,1,0.027,0,0,0.027,37,,,,,,,,,,,,,,,,,,11552,6947,11934,,,,,,
32,University of Alaska Fairbanks,2,8,16,12,0.6469,0,5,14072,0.3845,0.2634,0.1808,0.4,0.3061,0,0.1163,0.2582,0.037,0.0859,0.1446,0.0063,4108,0.238615664845,0.214601769912,0.205771643664,0.232333010649,0.443974630021,0.442,0.455470737913,0.487465181058,2500,4678,21901,36934,7394,5850,9916,16373,14816,,,,,,6600,24984,71144,81500
33,University of Alaska Southeast,2,8,19,6,0.5625,0,5,14401,0.3034,0.1286,0.2414,,0.25,1,0,0.12,0.009,0.0801,0.1221,0.017,999,0.183544303797,0.147540983607,0.169082125604,0.189591078067,0.446886446886,0.423076923077,0.474576271186,0.445497630332,2500,4500,19609,33279,6157,4677,9920,,13457,,,,,,9000,22097,63920,74300
34,Alaska Pacific University,2,8,22,7,0.9603,0,5,15098,0.2222,0.1667,0.4444,0,0,,0.5,0.2353,0.0317,0.1037,0.2334,0.0115,347,0.421052631579,0.5,0.375,0.433734939759,0.232876712329,,,,3250,5500,27000,36000,,,,,,20463,20490,19601,23212,,10800,31416,65021,85000
35,Arizona State University Campus Immersion,4,6,15,16,0.8819,0,10,20092,0.6602,0.5183,0.2082,0.5042,0.6054,0.5588,0.4174,0.598,0.044,0.262,0.0114,0.0019,64216,0.4308033241,0.463732315293,0.471622266131,0.492382068561,0.208163265306,0.238219895288,0.23204298717,0.216002656042,3240,6025,25000,33751,8920,10693,15308,18953,20904,,,,,,12900,38161,88752,93300
36,University of Arizona,4,6,15,15,0.8727,5,15,26234,0.6434,0.4979,0.1964,0.5465,0.5977,0.5882,0.3485,0.5567,0.0406,0.2842,0.0128,0.002,36560,0.50597976081,0.45194361384,0.46903949293,0.499116749639,0.149009205804,0.191507077435,0.184461985875,0.164622641509,3500,5500,24950,31000,11237,14027,16773,20338,21455,,,,,,12100,37550,91856,99400
37,Embry-Riddle Aeronautical University-Prescott,4,6,22,10,0.7376,5,10,25998,0.699,0.3979,0,0.4118,0.6667,0.6667,1,0.7045,0.0202,0.1516,0.0063,0.0036,3015,0.269944806824,0.304606240713,0.342094284522,0.372737886748,0.281398601399,0.377184466019,0.308333333333,0.3074204947,2625,5250,26500,37000,,,,,,33195,32669,34723,37625,38798,22400,51853,110265,115500
38,The School of Architecture,4,6,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Dine College,4,6,33,6,,,,9818,0.0588,,0.1275,,,,0.0588,0.0659,0.0025,0.0033,0.9796,0.0008,1224,,,,0.073964497041,0.56345177665,0.571428571429,0.586440677966,0.581818181818,,,,,10680,11275,11571,,,,,,,,3500,13723,42716,45700
40,Northern Arizona University,4,6,16,16,0.7835,5,15,20500,0.59,0.4514,0,0.4242,0.5401,0.3333,0.4128,0.4961,0.0309,0.2608,0.0283,0.0027,23772,0.539689387403,0.498075442648,0.508213344149,0.532272456871,0.164235158168,0.19185520362,0.187900641026,0.179098602637,3225,5500,23726,31000,10836,11662,14736,18318,19688,,,,,,10300,33332,73614,77800
41,Ottawa University-Phoenix,4,6,19,6,,10,15,20463,,,,,,,,,0.0718,0.3132,0.0201,0,348,0.451271186441,0.344311377246,0.376644736842,0.406649616368,0.189221556886,0.179012345679,0.199324324324,0.188087774295,3197,6383,23500,32375,,,,,,,,,,,11200,31602,71586,78100
42,Prescott College,4,6,19,7,0.9932,0,10,17409,0.4,0.3429,0.3714,0.5,0.5,,,0.4,0.0287,0.0444,0.0235,0.0026,383,0.315789473684,0.290322580645,0.3125,0.330357142857,0.265486725664,0.225806451613,0.28125,0.225806451613,3554,6500,23835,33750,,,,,,7851,5495,17341,20761,28217,7100,14900,53729,63500
43,Arizona Christian University,4,6,22,8,0.7594,15,25,20115,0.3583,0.3,0.1083,0.1875,0.2414,0,0,0.2632,0.1067,0.2806,0.0148,0.0059,1012,0.274509803922,0.259615384615,0.289772727273,0.296296296296,0.220640569395,0.338983050847,0.311475409836,0.224770642202,2750,5500,18750,27000,,,,,,27563,26332,30212,33108,35042,5600,29839,71493,52100
44,University of Arkansas at Little Rock,5,5,16,12,0.5769,0,5,10181,0.3988,0.2449,0.2528,0.3013,0.2979,,1,0.3092,0.2521,0.0289,0.0092,0,5025,0.309031556039,0.254025044723,0.283408650742,0.289168765743,0.314720812183,0.269535673839,0.333665338645,0.32541720154,2816,5500,24241,36750,14093,15442,18265,19969,20260,,,,,,9400,26163,63681,70000
45,University of Arkansas for Medical Sciences,5,5,27,9,,5,10,12500,,,,,,,,,0.1185,0.0849,0.0028,0,1072,0.687022900763,0.782608695652,0.719178082192,0.745,,,,,5000,7500,20275,25000,,,,,,,,,,,24500,50349,109563,128000
46,Arkansas Baptist College,5,5,23,7,,0,5,9058,0.0917,0,0.4889,0.0877,0,,,0.0887,0.7971,0.0338,0.0024,0.0097,414,,0.065714285714,,0.078651685393,0.455445544554,0.4,0.487261146497,0.463276836158,2750,5500,19000,32750,,,,,,13614,11549,9925,8526,17198,5900,15954,41451,42400
47,Lyon College,5,5,21,8,0.2721,10,15,14915,0.4554,0.3709,0,0.1333,0.2667,,0.4,0.3276,0.0642,0.0955,0.0104,0.0035,576,,,,0.082474226804,0.410810810811,,0.350877192982,0.37037037037,2750,5500,24720,27000,,,,,,8087,8582,12492,12828,12560,12600,26311,63742,71300
48,University of Arkansas,5,5,15,16,0.8267,5,10,21521,0.6968,0.5193,0,0.6,0.6614,0.75,0.5417,0.5499,0.0446,0.1039,0.0077,0.0012,24001,0.454081632653,0.441752096925,0.494097070398,0.547314578005,0.139079583016,0.210708117444,0.210109018831,0.166522116219,3500,5500,26000,32750,10914,11538,14417,18076,18978,,,,,,13000,34686,83177,87200
49,University of Arkansas at Pine Bluff,5,5,22,11,0.6753,10,15,10000,0.4075,0.2612,0.2373,0.4073,0.375,,0,0.3757,0.9043,0.0221,0.0053,0.0004,2444,0.327731092437,0.289108910891,0.339421613394,0.345297029703,0.289592760181,0.327731092437,0.308957952468,0.300275482094,2980.5,5500,26749,38500,10141,10177,12245,13759,12732,,,,,,6700,20029,50195,58000
50,Arkansas State University,5,5,16,13,0.6329,0,10,11000,0.5384,0.3778,0.2669,0.4201,0.3721,1,0.75,0.4518,0.14,0.0444,0.0028,0.0007,7478,0.362047440699,0.334700574241,0.371062992126,0.396875,0.228360957643,0.202265372168,0.270032930845,0.236102809325,2750,5500,25250,38767,10730,12021,14218,16163,16837,,,,,,7600,24349,57749,67100
51,Arkansas Tech University,5,5,18,13,0.9437,0,10,9130,0.4578,0.2939,0.2222,0.1841,0.475,,0.4,0.3728,0.0721,0.0971,0.0076,0.0009,6467,0.454135338346,0.322409211692,0.377057356608,0.390804597701,0.329457364341,0.339339339339,0.392921960073,0.343982960596,2750,5500,21600,33870,10738,11363,13195,14377,14535,,,,,,8800,24619,60152,69600
52,University of Arkansas at Monticello,5,5,19,10,,0,5,7460,0.3301,0.1586,0.1543,0.1824,0.4583,,,0.2623,0.2929,0.0704,0.0015,0,1946,0.238095238095,0.159090909091,0.192452830189,0.209003215434,0.436563436563,0.420118343195,0.467013888889,0.458904109589,2684,3750,16126,28737,11509,12176,13492,15843,13865,,,,,,8800,20033,53503,68500
53,University of Central Arkansas,5,5,17,13,0.9237,5,15,13135,0.494,0.3389,0.2966,0.3634,0.4381,0,0.5714,0.3909,0.1671,0.0642,0.003,0.001,7763,0.385915492958,0.34486266531,0.362514688602,0.391435986159,0.212106768351,0.205263157895,0.253456221198,0.227390180879,2779,5500,23500,33992,12358,13336,14940,17081,17399,,,,,,9900,26719,64815,73600
54,Central Baptist College,5,5,22,7,0.616,10,15,11920,0.3889,0.3803,0.3333,0.1875,0.25,,1,0.2241,0.1575,0.0971,0.0128,0.0018,546,0.195402298851,0.147727272727,0.175,0.203619909502,0.338028169014,0.417910447761,0.37037037037,0.364779874214,3500,5652,25325,36250,,,,,,20290,20800,24066,26627,26905,10300,25911,63204,67100
55,Crowley's Ridge College,5,5,22,8,,15,25,10631,0.2308,0,0.5,0,,0,,0.2353,0.1941,0.0118,0,0,170,,,,0.272727272727,0.326086956522,,,,3500,5500,17958,27500,,,,,,14429,16516,19283,17033,14663,,15628,42851,
56,Harding University,5,5,17,14,0.5414,10,20,25026,0.6717,0.4859,0,0.3774,0.5111,,1,0.4816,0.0515,0.0389,0.0037,0.0009,3262,0.651376146789,0.458563535912,0.520607375271,0.586021505376,0.082366589327,0.111111111111,0.086021505376,0.100233100233,4500,8020,29500,37500,,,,,,15517,18672,18326,21242,23330,9000,31979,71638,77800
57,Henderson State University,5,5,19,11,0.7501,0,10,10000,0.372,0.2388,0.2058,0.2108,0.3571,,0.4444,0.2979,0.1755,0.0653,0.0027,0.0086,2205,0.360946745562,0.287526427061,0.328785811733,0.33686440678,0.261117445838,0.227586206897,0.271604938272,0.275659824047,2750,5500,21650,30750,14948,14657,18359,19822,17907,,,,,,10100,25357,56179,67300
58,Hendrix College,5,5,21,11,0.683,5,15,26964,0.7289,0.7033,0,0.6154,0.6429,0,1,0.6863,0.0752,0.0943,0.0054,0.0009,1103,,0.515151515152,0.598540145985,0.619402985075,0.094488188976,,,,5500,8250,27000,29000,,,,,,4004,7103,10343,12727,15043,11900,33343,73499,75800
59,John Brown University,5,5,19,11,0.5287,5,15,16601,0.7039,0.6061,0.1899,0,0.6522,,0.6667,0.6356,0.0152,0.076,0.0159,0.0007,1381,0.597122302158,0.564885496183,0.617886178862,0.626146788991,0.145780051151,0.209302325581,0.198275862069,0.188679245283,3667,8250,25000,30750,,,,,,16289,12391,19525,19264,21508,11800,32573,87710,106800
60,Ouachita Baptist University,5,5,21,11,0.7375,5,15,21282,0.6675,0.5995,0,0.4848,0.2632,1,1,0.52,0.0776,0.0573,0.0025,0,1572,0.51724137931,0.468085106383,0.544943820225,0.626062322946,0.130699088146,,0.239436619718,0.158974358974,3500,5500,24358,28000,,,,,,17009,17155,18203,22696,22821,8500,32664,66709,77700
61,University of the Ozarks,5,5,22,8,0.5537,0,10,9900,0.488,0.4067,0.3301,0.5385,0.4583,0,0.5,0.4,0.0542,0.1303,0.009,0.0026,775,,0.306666666667,0.405797101449,0.405405405405,0.187845303867,,0.279411764706,,2750,5000,19250,31000,,,,,,10708,11969,14747,18564,20314,3600,26114,60787,62900
62,Philander Smith College,5,5,22,8,,15,20,14410,0.2824,0.1176,0,0.2785,0.5,,0,0.2519,0.9041,0.0141,0,0.0113,709,0.3875,0.248648648649,0.261261261261,0.258426966292,0.382189239332,0.372549019608,0.442159383033,0.396963123644,3750,5500,27000,40000,,,,,,14843,13695,15410,16683,21710,6200,16477,51123,57200
63,Williams Baptist University,5,5,22,8,0.641,10,15,12092,0.3175,0.2619,0.3254,0.25,0.5,0,,0.2462,0.1046,0.0337,0.0051,0.0017,593,0.5,0.274509803922,0.353982300885,0.341935483871,0.227642276423,,0.235294117647,,2750,5500,20475,27500,,,,,,14242,14631,15461,17607,16966,8400,27803,55534,61900
64,Southern Arkansas University Main Campus,5,5,18,14,0.626,5,15,9000,0.4008,0.2709,0.355,0.2924,0.48,0.2,0.1667,0.3466,0.2114,0.0504,0.0029,0.0004,2795,0.424581005587,0.342741935484,0.372272143774,0.392094017094,0.282208588957,0.295774647887,0.349537037037,0.301886792453,2750,5500,18500,28897,14660,15388,16153,17522,17894,,,,,,9800,24999,58366,70600
65,University of Arkansas-Fort Smith,5,5,22,12,,0,5,10000,0.2629,0.1655,0.1383,0.1714,0.2708,,0.2759,0.2116,0.0375,0.1538,0.0236,0.0012,4188,0.283146067416,0.241473396999,0.267326732673,0.283519553073,0.38978306508,0.327543424318,0.402836879433,0.40017211704,1993,3500,16078.5,28332.5,7807,7809,10902,9823,11263,,,,,,6000,24533,59201,62300
66,Academy of Chinese Culture and Health Sciences,6,8,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Berkeley School of Theology,6,8,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,American Film Institute Conservatory,6,8,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,American Conservatory Theater,6,8,30,18,,0,5,,1,,0,,,,,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Art Center College of Design,6,8,20,9,0.7556,5,10,55168,0.7586,0.3046,0.0862,0.5,0.6,,,0.8298,0.0143,0.0908,0.0005,0.003,2026,0.666666666667,0.588957055215,0.572222222222,0.590214067278,0.155629139073,0.204819277108,0.174825174825,0.139240506329,5500,18000,41000,51638,,,,,,39264,38669,45302,44312,55509,7600,31588,121377,114700
71,Azusa Pacific University,6,8,16,14,0.941,10,20,24221,0.7151,0.5328,0,0.5965,0.6884,0.5263,0.5,0.8556,0.0625,0.3719,0.0033,0.0079,3937,0.404008438819,0.448798988622,0.492459016393,0.524090909091,0.119604316547,0.116301239276,0.149812734082,0.118867924528,5010,9500,27000,37500,,,,,,20622,22082,24581,22139,32463,10100,33779,91177,92800
72,Bethesda University,6,8,22,6,,0,5,,0.1525,0.1356,0,0.5,0,,,0.0811,0.1212,0.2008,0.0114,0,264,,,,,0.291666666667,,,,,5500,17259,,,,,,,14307,9523,,16728,19754,,,,
73,Biola University,6,8,17,14,0.6077,10,15,35935,0.6994,0.5503,0.2267,0.625,0.6011,,,0.629,0.0317,0.206,0.0025,0.0056,3592,0.489583333333,0.56746031746,0.562886597938,0.625284738041,0.11286407767,0.20652173913,0.130630630631,0.119565217391,5030,9250,27000,33000,,,,,,20352,19825,24398,27869,32942,6000,30625,81941,84500
74,California Institute of Integral Studies,6,8,17,9,,0,5,19610,,,,,,,,,0.1071,0.131,0,0,84,,0.6875,,0.68,,,,,7000,13075.5,19469,25000,,,,,,,,,,,,12352,51973,
75,California Baptist University,6,8,18,13,0.6373,10,15,26736,0.5674,0.373,0.2781,0.4156,0.5184,0.5714,0.25,0.5243,0.0664,0.3918,0.0055,0.0089,8234,0.497596153846,0.480600750939,0.499063085572,0.510648148148,0.152163797115,0.215710723192,0.15845539281,0.159134309357,5250,9500,31000,42800,,,,,,17485,18585,20593,22423,28526,8700,29198,83348,76500
76,California College of the Arts,6,8,30,11,0.7763,5,15,27035,0.6542,0.4375,0,0.4286,0.6452,1,,0.625,0.0404,0.1461,0,0.0016,1239,0.5,0.464285714286,0.495726495726,0.562189054726,0.134715025907,,,,5500,12000,34250,42750,,,,,,25813,26851,32387,26881,40139,3300,20707,79737,100300
77,University of California-Hastings College of Law,6,8,31,18,,,,46346,,,,,,,,,,,,,,,,,,,,,,3000,3000,8000,8000,,,,,,,,,,,25800,,,240200
78,California Institute of Technology,6,8,15,11,0.0392,0,5,27881,0.9292,0.8625,0.0167,1,0.8889,,,0.88,0.0253,0.2229,0.001,0.001,987,,,,0.810344827586,,,,,,5500,20458.5,,,,,,,10755,1371,4404,18206,46921,19900,64012,180406,189000
79,California Lutheran University,6,8,18,14,0.8194,15,20,28435,0.7378,0.6807,0.2084,0.6875,0.7351,,1,0.7239,0.039,0.3918,0.0023,0.005,2588,0.596026490066,0.609756097561,0.681434599156,0.692415730337,0.083640836408,0.124378109453,0.111111111111,0.08719851577,5475,8750,27000,34000,,,,,,15688,15566,16432,21154,29020,13200,39278,91856,96300
80,California Polytechnic State University-San Luis Obispo,6,8,18,16,0.33,5,15,31615,0.8539,0.5704,0.0124,0.7,0.8128,1,0.8571,0.811,0.0069,0.1944,0.0012,0.0024,21090,0.68487394958,0.71530758226,0.741891891892,0.762199563001,0.071338117349,0.151020408163,0.084394904459,0.066981875493,4743,7500,25000,30000,11885,12855,17778,22753,27750,,,,,,15700,54870,122994,112300
81,California State University-Bakersfield,6,8,18,15,0.8521,0,5,12000,0.4756,0.1741,0.0179,0.3981,0.4771,0.3333,0.5,0.4688,0.0416,0.6362,0.003,0.0021,8870,0.231622746186,0.133387227162,0.127764127764,0.125161847216,0.312134217714,0.351382488479,0.328358208955,0.312390158172,2333,4500,20835,31000,4682,5388,8140,13221,16439,,,,,,11500,32543,78455,81900
82,California State University-Stanislaus,6,8,18,12,0.9476,0,5,12000,0.5762,0.1893,0.0369,0.5294,0.5484,0.4444,0.5,0.5579,0.0205,0.5884,0.0019,0.0065,9161,0.599221789883,0.536606373816,0.526656701545,0.535947712418,0.12915851272,0.131672597865,0.144848954299,0.129694323144,3000,5500,21950,31000,3903,4296,7911,12119,15397,,,,,,9000,37470,80608,75100
